10,568
26,583
4,855
43,628
86,586
53,355
42,716
15,892
63,65
15,485
72,960
24,137
59,134
11,479
97,274
60,305
64,437
46,514
15,667
49,210
23,176
20,291
85,479
72,182
81,219
76,831
78,27
0,503
57,820
73,546
21,383
26,72
26,975
5,932
17,111
20,446
41,87
72,495
16,349
40,66
1,19
89,589
74,317
14,522
18,857
7,232
28,67
10,598
35,911
92,726
39,112
35,462
49,436
67,873
55,367
7,953
31,834
0,346
20,783
63,468
98,536
82,39
33,189
32,826
34,91
93,982
36,300
38,236
27,666
81,85
64,125
39,691
36,334
3,635
21,110
58,621
5,101
40,243
19,12
67,132
21,62
69,508
27,983
32,31
91,820
18,874
7,633
36,283
50,494
72,921
29,336
97,203
60,132
42,780
41,937
63,136
74,594
82,522
6,113
99,970
